metabolite_name;Human.Metabolome.Database;KEGG;InChIKey;Formula;Molecular.Weight;RT..min.;mzCloud.Best.Match;mzCloud.Library.Match..Autoprocessed;mzCloud.Library.Match..Reference;MS2
Quetiapine;Quetiapine;HMDB0005021;C07397;URKOMYMAXPYINW-UHFFFAOYSA-N;C21 H25 N3 O2 S;383.16636;10.197;92;No matches found;Single match found;DDA for preferred ion
Ribothymidine;Ribothymidine;HMDB0000884;NA;DWRXFEITVBNRMK-JXOAFFINSA-N;C10 H14 N2 O6;258.08499;0.935;NA;No matches found;No matches found;No MS2
Ribulose-5-phosphate;Ribulose-5-phosphate;NA;C00199;FNZLKVNUWIIPSJ-UHNVWZDZSA-N;C5 H11 O8 P;230.01873;0.931;NA;No matches found;No matches found;No MS2
Risperidone;Risperidone;HMDB0005020;C06861 ;RAPZEAPATHNIPO-UHFFFAOYSA-N;C23 H27 F N4 O2;410.21288;9.574;NA;No matches found;No matches found;DDA for preferred ion
S-2-Propenyl propanethioate;S-2-Propenyl propanethioate;HMDB0037493;NA;GKRISGLFPMFKSX-UHFFFAOYSA-N;C6 H10 O S;130.04587;0.855;NA;No matches found;No matches found;No MS2
Salbutamol;Salbutamol;HMDB0001937;C11770 ;NDAUXUAQIAJITI-UHFFFAOYSA-N;C13 H21 N O3;239.15217;11.453;NA;No matches found;No matches found;DDA for preferred ion
Salicylic acid;Salicylic acid;HMDB0001895;C00805 ;YGSDEFSMJLZEOE-UHFFFAOYSA-N;C7 H6 O3;138.03164;10.164;70.8;No matches found;Multiple matches found;DDA for preferred ion
Salicyluric acid;Salicyluric acid;HMDB0000840;C07588 ;ONJSZLXSECQROL-UHFFFAOYSA-N;C9 H9 N O4;195.05305;5.346;89.1;No matches found;Single match found;DDA for preferred ion
S-Allylcysteine;S-Allylcysteine;HMDB0034323;NA;ZFAHNWWNDFHPOH-UHFFFAOYSA-N;C6 H11 N O2 S;161.05088;2.71;NA;No matches found;No matches found;No MS2
Secobarbital;Secobarbital;HMDB0014562;NA;KQPKPCNLIDLUMF-UHFFFAOYSA-N;C12 H18 N2 O3;238.13105;11.747;NA;No matches found;No matches found;No MS2
Secoisolariciresinol;Secoisolariciresinol;HMDB0013692;C18167 ;PUETUDUXMCLALY-HOTGVXAUSA-N;C20 H26 O6;362.17265;11.699;NA;No matches found;No matches found;No MS2
Sorbitan laurate;Sorbitan laurate;HMDB0029885;NA;LWZFANDGMFTDAV-UHFFFAOYSA-N;C18 H34 O6;346.23557;10.905;NA;No matches found;No matches found;DDA for preferred ion
Soyasaponin I;Soyasaponin I;HMDB0034649;C08983;PTDAHAWQAGSZDD-IOVCITQVSA-N;C48 H78 O18;942.51476;11.1;NA;No matches found;No matches found;No MS2
Spermidine;Spermidine;HMDB0001257;C00315;ATHGHQPFGPMSJY-UHFFFAOYSA-N;C7 H19 N3;128.13124;0.729;75.1;No matches found;Single match found;DDA for other ion
Sphinganine 1-phosphate;Sphinganine 1-phosphate;HMDB0001383;C01120;YHEDRJPUIRMZMP-ZWKOTPCHSA-N;C18 H40 N O5 P;381.26436;12.296;NA;No matches found;No matches found;DDA for preferred ion
Sphingosine 1-phosphate;Sphingosine 1-phosphate;HMDB0000277;C06124;DUYSYHSSBDVJSM-KRWOKUGFSA-N;C18 H38 N O5 P;379.2487;12.148;87.2;No matches found;Single match found;DDA for preferred ion
Stearoylcarnitine;Stearoylcarnitine;HMDB0000848;NA;FNPHNLNTJNMAEE-HSZRJFAPSA-N;C25 H49 N O4;427.3658;12.568;NA;No matches found;No matches found;DDA for preferred ion
Succinic acid;Succinic acid;HMDB0000254;C00042;KDYFGRWQOYBRFD-UHFFFAOYSA-N;C4 H6 O4;118.02653;1.939;91.6;No matches found;Multiple matches found;DDA for preferred ion
Succinic anhydride;Succinic anhydride;HMDB0032523;C19524;RINCXYDBBGOEEQ-UHFFFAOYSA-N;C4 H4 O3;100.016;1.863;NA;No matches found;No matches found;No MS2
Sucrose;Sucrose;HMDB0000258;C00089;CZMRCDWAGMRECN-UGDNZRGBSA-N;C12 H22 O11;342.11599;0.908;NA;No matches found;No matches found;No MS2
Sulfoglycolithocholate(2-);Sulfoglycolithocholate(2-);HMDB0062801;NA;FHXBAFXQVZOILS-UHFFFAOYSA-N;C26 H43 N O7 S;513.27641;10.797;NA;No matches found;No matches found;DDA for preferred ion
Suprofen;Suprofen;HMDB0015008;C07320;MDKGKXOCJGEUJW-UHFFFAOYSA-N;C14 H12 O3 S;260.05054;1.5;NA;No matches found;No matches found;No MS2
Taurine;Taurine;HMDB0000251;C00245 ;XOAAWQZATWQOTB-UHFFFAOYSA-N;C2 H7 N O3 S;125.01455;0.875;88.2;No matches found;Single match found;DDA for preferred ion
Tentoxin;Tentoxin;NA;C08441;SIIRBDOFKDACOK-LFXZBHHUSA-N;C22 H30 N4 O4;414.22522;11.778;NA;No matches found;No matches found;No MS2
Tetraacetylethylenediamine;Tetraacetylethylenediamine;HMDB0040573;NA;BGRWYDHXPHLNKA-UHFFFAOYSA-N;C10 H16 N2 O4;228.11087;1.357;NA;No matches found;No matches found;No MS2
Tetradecanedioic acid;Tetradecanedioic acid;HMDB0000872;NA;HQHCYKULIHKCEB-UHFFFAOYSA-N;C14 H26 O4;258.18327;11.94;90.5;No matches found;Single match found;DDA for preferred ion
Tetrahydrocortisol;Tetrahydrocortisol;HMDB0000949;C05465 ;AODPIQQILQLWGS-OBRSLYEHSA-N;C21 H34 O5;366.24064;10.816;NA;No matches found;No matches found;DDA for preferred ion
Theophylline;Theophylline;HMDB0001889;C07130;ZFXYFBGIUFBOJW-UHFFFAOYSA-N;C7 H8 N4 O2;180.06464;6.026;83.2;No matches found;Multiple matches found;DDA for preferred ion
Thiomorpholine 3-carboxylate;Thiomorpholine 3-carboxylate;HMDB0059611;C03901;JOKIQGQOKXGHDV-UHFFFAOYSA-N;C5 H9 N O2 S;147.03538;0.94;NA;No matches found;No matches found;DDA for preferred ion
Threonic acid;Threonic acid;HMDB0062620;C01620;JPIJQSOTBSSVTP-STHAYSLISA-N;C4 H8 O5;136.03716;0.911;74.2;No matches found;Single match found;DDA for preferred ion
Thymidine;Thymidine;HMDB0000273;C00214;IQFYYKKMVGJFEH-XLPZGREQSA-N;C10 H14 N2 O5;242.09045;4.624;78.8;No matches found;Single match found;DDA for preferred ion
Thymine;Thymine;HMDB0000262;C00178;RWQNBRDOKXIBIV-UHFFFAOYSA-N;C5 H6 N2 O2;126.04301;4.464;NA;No matches found;No matches found;No MS2
Tiglylcarnitine;Tiglylcarnitine;HMDB0002366;NA;WURBQCVBQNMUQT-OLKPEBQYSA-N;C12 H21 N O4;243.14715;9.426;NA;No matches found;No matches found;DDA for preferred ion
Toloxatone ;Toloxatone ;NA;D02559;MXUNKHLAEDCYJL-UHFFFAOYSA-N;C11 H13 N O3;207.08946;9.75;NA;No matches found;No matches found;DDA for preferred ion
Tranexamic Acid;Tranexamic Acid;HMDB0014447;C12535;GYDJEQRTZSCIOI-UHFFFAOYSA-N;C8 H15 N O2;157.11023;1.423;NA;No matches found;No matches found;No MS2
trans-2-Dodecenoylcarnitine;trans-2-Dodecenoylcarnitine;HMDB0013326;NA;JEOZLTJHDSKQIT-CLVCIHKQSA-N;C19 H35 N O4;341.25609;11.151;NA;No matches found;No matches found;No MS2
trans-Hexadec-2-enoyl carnitine;trans-Hexadec-2-enoyl carnitine;HMDB0006317;NA;SOYNLLDADLOGAM-ISLYRVAYSA-N;C23 H43 N O4;397.31899;11.955;NA;No matches found;No matches found;DDA for preferred ion
trans-Piceid;trans-Piceid;HMDB0030564;C10275;HSTZMXCBWJGKHG-CUYWLFDKSA-N;C20 H22 O8;390.13173;10.418;NA;No matches found;No matches found;No MS2
Traumatic acid;Traumatic acid;HMDB0000933;C16308;MAZWDMBCPDUFDJ-VQHVLOKHSA-N;C12 H20 O4;228.13619;11.012;NA;No matches found;No matches found;DDA for preferred ion
Traumatin;Traumatin;HMDB0037326;C16309 ;INMKWUNQKOWGEZ-VQHVLOKHSA-N;C12 H20 O3;212.14108;11.128;NA;No matches found;No matches found;No MS2
Tridecanedioic acid;Tridecanedioic acid;HMDB0002327;NA;DXNCZXXFRKPEPY-UHFFFAOYSA-N;C13 H24 O4;244.16738;11.617;NA;No matches found;No matches found;DDA for preferred ion
Trifluoroacetic acid;Trifluoroacetic acid;HMDB0014118;NA;DTQVDTLACAAQTR-UHFFFAOYSA-N;C2 H F3 O2;113.99282;0.798;NA;No matches found;No matches found;DDA for preferred ion
Trimethadione;Trimethadione;HMDB0014491;NA;IRYJRGCIQBGHIV-UHFFFAOYSA-N;C6 H9 N O3;143.05823;0.897;NA;No matches found;No matches found;No MS2
Troleandomycin;Troleandomycin;HMDB0015448;C12753;LQCLVBQBTUVCEQ-QTFUVMRISA-N;C41 H67 N O15;813.44972;12.157;NA;No matches found;No matches found;No MS2
Tylvalosin;Tylvalosin;NA;D10032;KCJJINQANFZSAM-HZDSEHBESA-N;C53 H87 N O19;1041.59116;11.603;NA;No matches found;No matches found;No MS2
Uracil;Uracil;HMDB0000300;C00106 ;ISAKRJDGNUQOIC-UHFFFAOYSA-N;C4 H4 N2 O2;112.02697;0.949;NA;No matches found;No matches found;DDA for preferred ion
Uric acid;Uric acid;HMDB0000289;C00366;LEHOTFFKMJEONL-UHFFFAOYSA-N;C5 H4 N4 O3;168.02824;1.445;92.1;No matches found;Single match found;DDA for preferred ion
Valeroidine;Valeroidine;NA;NA;APLLVFVOTXZBFO-RUJICJSRSA-N;C13 H23 N O3;241.1678;11.637;NA;No matches found;No matches found;No MS2
Valine;Valine;HMDB0000883;C00183;KZSNJWFQEVHDMF-BYPYZUCNSA-N;C5 H11 N O2;117.07885;1.379;96.2;No matches found;Multiple matches found;DDA for preferred ion
Vanillin;Vanillin;HMDB0012308;C00755 ;MWOOGOJBHIARFG-UHFFFAOYSA-N;C8 H8 O3;152.04728;8.949;NA;No matches found;No matches found;No MS2
Vigabatrin;Vigabatrin;HMDB0015212;C07500;PJDFLNIOAUIZSL-UHFFFAOYSA-N;C6 H11 N O2;129.07892;0.757;NA;No matches found;No matches found;DDA for preferred ion
Westiellamide;Westiellamide;NA;C15739;MIDTUAMKJJDHAR-YAWPOEEYSA-N;C27 H42 N6 O6;546.31582;11.078;NA;No matches found;No matches found;No MS2
Xanthine;Xanthine;HMDB0000292;C00385;LRFVTYWOQMYALW-UHFFFAOYSA-N;C5 H4 N4 O2;152.03329;1.757;86.6;No matches found;Single match found;DDA for preferred ion
Zeranol;Zeranol;HMDB0032702;C14752;DWTTZBARDOXEAM-UHFFFAOYSA-N;C18 H26 O5;322.17783;11.352;NA;No matches found;No matches found;No MS2
